Country,year,sex,age,suicides_no,population,suicides.100k.pop,country.year,HDI.for.year,gdp_for_year....,gdp_per_capita....,generation
Armenia,1990,female,55-74 years,6,224100,2.68,Armenia1990,0.632,"2,256,838,858",756,G.I. Generation
Armenia,1990,female,75+ years,1,48900,2.04,Armenia1990,0.632,"2,256,838,858",756,G.I. Generation
Armenia,1990,female,25-34 years,4,320700,1.25,Armenia1990,0.632,"2,256,838,858",756,Boomers
Armenia,1990,female,15-24 years,3,258500,1.16,Armenia1990,0.632,"2,256,838,858",756,Generation X
Armenia,1990,female,5-14 years,0,316900,0,Armenia1990,0.632,"2,256,838,858",756,Generation X
Armenia,1990,male,5-14 years,0,333600,0,Armenia1990,0.632,"2,256,838,858",756,Generation X
Australia,1990,male,75+ years,87,276900,31.42,Australia1990,0.865,"310,838,014,621",19665,G.I. Generation
Australia,1990,male,25-34 years,418,1415000,29.54,Australia1990,0.865,"310,838,014,621",19665,Boomers
Australia,1990,male,15-24 years,374,1405900,26.6,Australia1990,0.865,"310,838,014,621",19665,Generation X
Australia,1990,male,55-74 years,325,1266400,25.66,Australia1990,0.865,"310,838,014,621",19665,G.I. Generation
Australia,1990,male,35-54 years,549,2220600,24.72,Australia1990,0.865,"310,838,014,621",19665,Silent
Australia,1990,female,75+ years,37,465600,7.95,Australia1990,0.865,"310,838,014,621",19665,G.I. Generation
Australia,1990,female,25-34 years,109,1401200,7.78,Australia1990,0.865,"310,838,014,621",19665,Boomers
Australia,1990,female,55-74 years,98,1349000,7.26,Australia1990,0.865,"310,838,014,621",19665,G.I. Generation
Australia,1990,female,35-54 years,136,2154800,6.31,Australia1990,0.865,"310,838,014,621",19665,Silent
Australia,1990,female,15-24 years,64,1354800,4.72,Australia1990,0.865,"310,838,014,621",19665,Generation X
Australia,1990,male,5-14 years,5,1281300,0.39,Australia1990,0.865,"310,838,014,621",19665,Generation X
Australia,1990,female,5-14 years,0,1215500,0,Australia1990,0.865,"310,838,014,621",19665,Generation X
Austria,1990,male,75+ years,186,165206,112.59,Austria1990,0.794,"166,463,386,663",23020,G.I. Generation
Austria,1990,male,55-74 years,320,598225,53.49,Austria1990,0.794,"166,463,386,663",23020,G.I. Generation
Austria,1990,male,35-54 years,418,985787,42.4,Austria1990,0.794,"166,463,386,663",23020,Silent
Austria,1990,female,75+ years,132,365227,36.14,Austria1990,0.794,"166,463,386,663",23020,G.I. Generation
Austria,1990,male,25-34 years,209,646830,32.31,Austria1990,0.794,"166,463,386,663",23020,Boomers
Austria,1990,male,15-24 years,150,589106,25.46,Austria1990,0.794,"166,463,386,663",23020,Generation X
Austria,1990,female,55-74 years,173,802079,21.57,Austria1990,0.794,"166,463,386,663",23020,G.I. Generation
Austria,1990,female,35-54 years,150,984274,15.24,Austria1990,0.794,"166,463,386,663",23020,Silent
Austria,1990,female,25-34 years,53,626994,8.45,Austria1990,0.794,"166,463,386,663",23020,Boomers
Austria,1990,female,15-24 years,31,568627,5.45,Austria1990,0.794,"166,463,386,663",23020,Generation X
Austria,1990,female,5-14 years,2,437872,0.46,Austria1990,0.794,"166,463,386,663",23020,Generation X
Austria,1990,male,5-14 years,1,461126,0.22,Austria1990,0.794,"166,463,386,663",23020,Generation X
Azerbaijan,1990,male,35-54 years,41,587300,6.98,Azerbaijan1990,NA,"8,858,006,036",1439,Silent
Azerbaijan,1990,male,55-74 years,11,306200,3.59,Azerbaijan1990,NA,"8,858,006,036",1439,G.I. Generation
Azerbaijan,1990,male,25-34 years,19,613200,3.1,Azerbaijan1990,NA,"8,858,006,036",1439,Boomers
Azerbaijan,1990,male,15-24 years,16,682700,2.34,Azerbaijan1990,NA,"8,858,006,036",1439,Generation X
Azerbaijan,1990,male,75+ years,1,42900,2.33,Azerbaijan1990,NA,"8,858,006,036",1439,G.I. Generation
Azerbaijan,1990,female,75+ years,2,99200,2.02,Azerbaijan1990,NA,"8,858,006,036",1439,G.I. Generation
Azerbaijan,1990,female,55-74 years,6,389200,1.54,Azerbaijan1990,NA,"8,858,006,036",1439,G.I. Generation
Azerbaijan,1990,female,25-34 years,7,677800,1.03,Azerbaijan1990,NA,"8,858,006,036",1439,Boomers
Azerbaijan,1990,female,35-54 years,6,637700,0.94,Azerbaijan1990,NA,"8,858,006,036",1439,Silent
Azerbaijan,1990,female,15-24 years,4,656800,0.61,Azerbaijan1990,NA,"8,858,006,036",1439,Generation X
Azerbaijan,1990,male,5-14 years,1,750400,0.13,Azerbaijan1990,NA,"8,858,006,036",1439,Generation X
Azerbaijan,1990,female,5-14 years,0,713400,0,Azerbaijan1990,NA,"8,858,006,036",1439,Generation X
Barbados,1990,male,75+ years,3,5000,60,Barbados1990,0.716,"2,023,318,252",8537,G.I. Generation
Barbados,1990,male,35-54 years,5,24000,20.83,Barbados1990,0.716,"2,023,318,252",8537,Silent
Barbados,1990,male,55-74 years,2,13000,15.38,Barbados1990,0.716,"2,023,318,252",8537,G.I. Generation
Barbados,1990,male,25-34 years,2,24000,8.33,Barbados1990,0.716,"2,023,318,252",8537,Boomers
Barbados,1990,female,35-54 years,2,26000,7.69,Barbados1990,0.716,"2,023,318,252",8537,Silent
Barbados,1990,female,55-74 years,1,20000,5,Barbados1990,0.716,"2,023,318,252",8537,G.I. Generation
Barbados,1990,male,15-24 years,1,25000,4,Barbados1990,0.716,"2,023,318,252",8537,Generation X
Barbados,1990,female,15-24 years,0,24000,0,Barbados1990,0.716,"2,023,318,252",8537,Generation X
Barbados,1990,female,25-34 years,0,23000,0,Barbados1990,0.716,"2,023,318,252",8537,Boomers
Barbados,1990,female,5-14 years,0,22000,0,Barbados1990,0.716,"2,023,318,252",8537,Generation X
Barbados,1990,female,75+ years,0,9000,0,Barbados1990,0.716,"2,023,318,252",8537,G.I. Generation
Barbados,1990,male,5-14 years,0,22000,0,Barbados1990,0.716,"2,023,318,252",8537,Generation X
Belarus,1990,male,35-54 years,729,1199400,60.78,Belarus1990,NA,"21,650,000,000",2301,Silent
Belarus,1990,male,55-74 years,363,714100,50.83,Belarus1990,NA,"21,650,000,000",2301,G.I. Generation
Belarus,1990,male,75+ years,59,123400,47.81,Belarus1990,NA,"21,650,000,000",2301,G.I. Generation
Belarus,1990,male,25-34 years,359,844900,42.49,Belarus1990,NA,"21,650,000,000",2301,Boomers
Belarus,1990,male,15-24 years,132,702900,18.78,Belarus1990,NA,"21,650,000,000",2301,Generation X
Belarus,1990,female,75+ years,61,339400,17.97,Belarus1990,NA,"21,650,000,000",2301,G.I. Generation
Belarus,1990,female,55-74 years,158,1101700,14.34,Belarus1990,NA,"21,650,000,000",2301,G.I. Generation
Belarus,1990,female,35-54 years,144,1284200,11.21,Belarus1990,NA,"21,650,000,000",2301,Silent
Belarus,1990,female,25-34 years,45,839200,5.36,Belarus1990,NA,"21,650,000,000",2301,Boomers
Belarus,1990,female,15-24 years,24,706500,3.4,Belarus1990,NA,"21,650,000,000",2301,Generation X
Belarus,1990,male,5-14 years,8,789500,1.01,Belarus1990,NA,"21,650,000,000",2301,Generation X
Belarus,1990,female,5-14 years,3,763600,0.39,Belarus1990,NA,"21,650,000,000",2301,Generation X
Belgium,1990,male,75+ years,208,221900,93.74,Belgium1990,0.806,"206,430,841,502",22032,G.I. Generation
Belgium,1990,male,55-74 years,349,915100,38.14,Belgium1990,0.806,"206,430,841,502",22032,G.I. Generation
Belgium,1990,male,35-54 years,422,1285200,32.84,Belgium1990,0.806,"206,430,841,502",22032,Silent
Belgium,1990,male,25-34 years,213,811000,26.26,Belgium1990,0.806,"206,430,841,502",22032,Boomers
Belgium,1990,female,75+ years,95,439600,21.61,Belgium1990,0.806,"206,430,841,502",22032,G.I. Generation
Belgium,1990,female,55-74 years,193,1053000,18.33,Belgium1990,0.806,"206,430,841,502",22032,G.I. Generation
Belgium,1990,male,15-24 years,109,711900,15.31,Belgium1990,0.806,"206,430,841,502",22032,Generation X
Belgium,1990,female,35-54 years,186,1259200,14.77,Belgium1990,0.806,"206,430,841,502",22032,Silent
Belgium,1990,female,25-34 years,81,781400,10.37,Belgium1990,0.806,"206,430,841,502",22032,Boomers
Belgium,1990,female,15-24 years,37,682800,5.42,Belgium1990,0.806,"206,430,841,502",22032,Generation X
Belgium,1990,male,5-14 years,2,618600,0.32,Belgium1990,0.806,"206,430,841,502",22032,Generation X
Belgium,1990,female,5-14 years,0,590000,0,Belgium1990,0.806,"206,430,841,502",22032,Generation X
Belize,1990,male,55-74 years,1,6300,15.87,Belize1990,0.644,"413,050,000",2614,G.I. Generation
Belize,1990,male,35-54 years,1,11300,8.85,Belize1990,0.644,"413,050,000",2614,Silent
Belize,1990,female,15-24 years,1,20100,4.98,Belize1990,0.644,"413,050,000",2614,Generation X
Belize,1990,female,25-34 years,0,13100,0,Belize1990,0.644,"413,050,000",2614,Boomers
Belize,1990,female,35-54 years,0,11000,0,Belize1990,0.644,"413,050,000",2614,Silent
Belize,1990,female,5-14 years,0,26200,0,Belize1990,0.644,"413,050,000",2614,Generation X
Belize,1990,female,55-74 years,0,6100,0,Belize1990,0.644,"413,050,000",2614,G.I. Generation
Belize,1990,female,75+ years,0,1700,0,Belize1990,0.644,"413,050,000",2614,G.I. Generation
Belize,1990,male,15-24 years,0,20300,0,Belize1990,0.644,"413,050,000",2614,Generation X
Belize,1990,male,25-34 years,0,13500,0,Belize1990,0.644,"413,050,000",2614,Boomers
Belize,1990,male,5-14 years,0,26900,0,Belize1990,0.644,"413,050,000",2614,Generation X
Belize,1990,male,75+ years,0,1500,0,Belize1990,0.644,"413,050,000",2614,G.I. Generation
Brazil,1990,male,75+ years,151,689024,21.92,Brazil1990,0.608,"461,951,782,000",3516,G.I. Generation
Brazil,1990,male,55-74 years,601,5570146,10.79,Brazil1990,0.608,"461,951,782,000",3516,G.I. Generation
Brazil,1990,male,35-54 years,1127,14165486,7.96,Brazil1990,0.608,"461,951,782,000",3516,Silent
Brazil,1990,male,25-34 years,945,12198761,7.75,Brazil1990,0.608,"461,951,782,000",3516,Boomers
Brazil,1990,male,15-24 years,731,14568361,5.02,Brazil1990,0.608,"461,951,782,000",3516,Generation X
Brazil,1990,female,75+ years,38,1117615,3.4,Brazil1990,0.608,"461,951,782,000",3516,G.I. Generation
Brazil,1990,female,55-74 years,196,6431086,3.05,Brazil1990,0.608,"461,951,782,000",3516,G.I. Generation
Brazil,1990,female,35-54 years,394,14711203,2.68,Brazil1990,0.608,"461,951,782,000",3516,Silent
Brazil,1990,female,15-24 years,304,14548740,2.09,Brazil1990,0.608,"461,951,782,000",3516,Generation X
Brazil,1990,female,25-34 years,250,12392001,2.02,Brazil1990,0.608,"461,951,782,000",3516,Boomers
Brazil,1990,male,5-14 years,34,17729894,0.19,Brazil1990,0.608,"461,951,782,000",3516,Generation X
Brazil,1990,female,5-14 years,32,17265236,0.19,Brazil1990,0.608,"461,951,782,000",3516,Generation X
Bulgaria,1990,male,75+ years,174,179200,97.1,Bulgaria1990,0.695,"20,632,090,909",2451,G.I. Generation
Bulgaria,1990,female,75+ years,98,252100,38.87,Bulgaria1990,0.695,"20,632,090,909",2451,G.I. Generation
Bulgaria,1990,male,55-74 years,294,873400,33.66,Bulgaria1990,0.695,"20,632,090,909",2451,G.I. Generation
Bulgaria,1990,male,35-54 years,242,1177100,20.56,Bulgaria1990,0.695,"20,632,090,909",2451,Silent
Bulgaria,1990,male,25-34 years,106,617000,17.18,Bulgaria1990,0.695,"20,632,090,909",2451,Boomers
Bulgaria,1990,female,55-74 years,161,986100,16.33,Bulgaria1990,0.695,"20,632,090,909",2451,G.I. Generation
Bulgaria,1990,male,15-24 years,90,646500,13.92,Bulgaria1990,0.695,"20,632,090,909",2451,Generation X
Bulgaria,1990,female,35-54 years,86,1197400,7.18,Bulgaria1990,0.695,"20,632,090,909",2451,Silent
Bulgaria,1990,female,25-34 years,30,606700,4.94,Bulgaria1990,0.695,"20,632,090,909",2451,Boomers
Bulgaria,1990,female,15-24 years,26,618000,4.21,Bulgaria1990,0.695,"20,632,090,909",2451,Generation X
Bulgaria,1990,male,5-14 years,14,649200,2.16,Bulgaria1990,0.695,"20,632,090,909",2451,Generation X
Bulgaria,1990,female,5-14 years,2,615800,0.32,Bulgaria1990,0.695,"20,632,090,909",2451,Generation X
Canada,1990,male,75+ years,149,459600,32.42,Canada1990,0.849,"593,929,550,908",24041,G.I. Generation
Canada,1990,male,25-34 years,703,2372600,29.63,Canada1990,0.849,"593,929,550,908",24041,Boomers
Canada,1990,male,35-54 years,884,3483200,25.38,Canada1990,0.849,"593,929,550,908",24041,Silent
Canada,1990,male,15-24 years,484,1970600,24.56,Canada1990,0.849,"593,929,550,908",24041,Generation X
Canada,1990,male,55-74 years,430,1969600,21.83,Canada1990,0.849,"593,929,550,908",24041,G.I. Generation
Canada,1990,female,35-54 years,293,3506700,8.36,Canada1990,0.849,"593,929,550,908",24041,Silent
Canada,1990,female,25-34 years,154,2388600,6.45,Canada1990,0.849,"593,929,550,908",24041,Boomers
Canada,1990,female,55-74 years,125,2216700,5.64,Canada1990,0.849,"593,929,550,908",24041,G.I. Generation
Canada,1990,female,15-24 years,94,1888000,4.98,Canada1990,0.849,"593,929,550,908",24041,Generation X
Canada,1990,female,75+ years,32,768500,4.16,Canada1990,0.849,"593,929,550,908",24041,G.I. Generation
Canada,1990,male,5-14 years,23,1882100,1.22,Canada1990,0.849,"593,929,550,908",24041,Generation X
Canada,1990,female,5-14 years,7,1798200,0.39,Canada1990,0.849,"593,929,550,908",24041,Generation X
Chile,1990,male,55-74 years,145,608000,23.85,Chile1990,0.699,"33,113,887,818",2828,G.I. Generation
Chile,1990,male,75+ years,22,112000,19.64,Chile1990,0.699,"33,113,887,818",2828,G.I. Generation
Chile,1990,male,35-54 years,176,1340000,13.13,Chile1990,0.699,"33,113,887,818",2828,Silent
Chile,1990,male,25-34 years,148,1167000,12.68,Chile1990,0.699,"33,113,887,818",2828,Boomers
Chile,1990,male,15-24 years,134,1256000,10.67,Chile1990,0.699,"33,113,887,818",2828,Generation X
Chile,1990,female,55-74 years,19,732000,2.6,Chile1990,0.699,"33,113,887,818",2828,G.I. Generation
Chile,1990,female,35-54 years,34,1419000,2.4,Chile1990,0.699,"33,113,887,818",2828,Silent
Chile,1990,female,25-34 years,27,1162000,2.32,Chile1990,0.699,"33,113,887,818",2828,Boomers
Chile,1990,female,15-24 years,23,1230000,1.87,Chile1990,0.699,"33,113,887,818",2828,Generation X
Chile,1990,female,75+ years,3,171000,1.75,Chile1990,0.699,"33,113,887,818",2828,G.I. Generation
Chile,1990,male,5-14 years,9,1276000,0.71,Chile1990,0.699,"33,113,887,818",2828,Generation X
Chile,1990,female,5-14 years,3,1236000,0.24,Chile1990,0.699,"33,113,887,818",2828,Generation X
Colombia,1990,male,75+ years,21,202048,10.39,Colombia1990,0.596,"40,274,204,595",1346,G.I. Generation
Colombia,1990,male,55-74 years,85,1124943,7.56,Colombia1990,0.596,"40,274,204,595",1346,G.I. Generation
Colombia,1990,male,15-24 years,220,3562908,6.17,Colombia1990,0.596,"40,274,204,595",1346,Generation X
Colombia,1990,male,25-34 years,174,2859281,6.09,Colombia1990,0.596,"40,274,204,595",1346,Boomers
Colombia,1990,male,35-54 years,153,2924679,5.23,Colombia1990,0.596,"40,274,204,595",1346,Silent
Colombia,1990,female,15-24 years,95,3499435,2.71,Colombia1990,0.596,"40,274,204,595",1346,Generation X
Colombia,1990,female,25-34 years,41,2902786,1.41,Colombia1990,0.596,"40,274,204,595",1346,Boomers
Colombia,1990,female,35-54 years,40,3134518,1.28,Colombia1990,0.596,"40,274,204,595",1346,Silent
Colombia,1990,female,55-74 years,14,1308768,1.07,Colombia1990,0.596,"40,274,204,595",1346,G.I. Generation
Colombia,1990,female,75+ years,3,286894,1.05,Colombia1990,0.596,"40,274,204,595",1346,G.I. Generation
Colombia,1990,male,5-14 years,12,4132729,0.29,Colombia1990,0.596,"40,274,204,595",1346,Generation X
Colombia,1990,female,5-14 years,7,3991984,0.18,Colombia1990,0.596,"40,274,204,595",1346,Generation X
Costa Rica,1990,male,75+ years,5,19000,26.32,Costa Rica1990,0.652,"7,403,457,319",2817,G.I. Generation
Costa Rica,1990,male,35-54 years,49,276000,17.75,Costa Rica1990,0.652,"7,403,457,319",2817,Silent
Costa Rica,1990,male,55-74 years,15,113000,13.27,Costa Rica1990,0.652,"7,403,457,319",2817,G.I. Generation
Costa Rica,1990,male,15-24 years,35,294000,11.9,Costa Rica1990,0.652,"7,403,457,319",2817,Generation X
Costa Rica,1990,male,25-34 years,31,267000,11.61,Costa Rica1990,0.652,"7,403,457,319",2817,Boomers
Costa Rica,1990,female,75+ years,1,23800,4.2,Costa Rica1990,0.652,"7,403,457,319",2817,G.I. Generation
Costa Rica,1990,female,35-54 years,6,273000,2.2,Costa Rica1990,0.652,"7,403,457,319",2817,Silent
Costa Rica,1990,female,15-24 years,5,283000,1.77,Costa Rica1990,0.652,"7,403,457,319",2817,Generation X
Costa Rica,1990,female,55-74 years,2,119000,1.68,Costa Rica1990,0.652,"7,403,457,319",2817,G.I. Generation
Costa Rica,1990,female,25-34 years,3,259000,1.16,Costa Rica1990,0.652,"7,403,457,319",2817,Boomers
Costa Rica,1990,male,5-14 years,4,358000,1.12,Costa Rica1990,0.652,"7,403,457,319",2817,Generation X
Costa Rica,1990,female,5-14 years,1,343000,0.29,Costa Rica1990,0.652,"7,403,457,319",2817,Generation X
Czech Republic,1990,male,75+ years,198,179200,110.49,Czech Republic1990,0.761,"40,477,403,220",4168,G.I. Generation
Czech Republic,1990,male,55-74 years,385,800800,48.08,Czech Republic1990,0.761,"40,477,403,220",4168,G.I. Generation
Czech Republic,1990,male,35-54 years,571,1421800,40.16,Czech Republic1990,0.761,"40,477,403,220",4168,Silent
Czech Republic,1990,female,75+ years,129,364700,35.37,Czech Republic1990,0.761,"40,477,403,220",4168,G.I. Generation
Czech Republic,1990,male,25-34 years,176,713900,24.65,Czech Republic1990,0.761,"40,477,403,220",4168,Boomers
Czech Republic,1990,female,55-74 years,196,1017200,19.27,Czech Republic1990,0.761,"40,477,403,220",4168,G.I. Generation
Czech Republic,1990,male,15-24 years,99,783000,12.64,Czech Republic1990,0.761,"40,477,403,220",4168,Generation X
Czech Republic,1990,female,35-54 years,150,1426600,10.51,Czech Republic1990,0.761,"40,477,403,220",4168,Silent
Czech Republic,1990,female,25-34 years,53,684200,7.75,Czech Republic1990,0.761,"40,477,403,220",4168,Boomers
Czech Republic,1990,female,15-24 years,34,747900,4.55,Czech Republic1990,0.761,"40,477,403,220",4168,Generation X
Czech Republic,1990,male,5-14 years,5,804100,0.62,Czech Republic1990,0.761,"40,477,403,220",4168,Generation X
Czech Republic,1990,female,5-14 years,1,767500,0.13,Czech Republic1990,0.761,"40,477,403,220",4168,Generation X
Ecuador,1990,male,25-34 years,89,788540,11.29,Ecuador1990,0.645,"15,239,278,100",1732,Boomers
Ecuador,1990,male,15-24 years,97,1055004,9.19,Ecuador1990,0.645,"15,239,278,100",1732,Generation X
Ecuador,1990,male,55-74 years,30,358877,8.36,Ecuador1990,0.645,"15,239,278,100",1732,G.I. Generation
Ecuador,1990,female,15-24 years,84,1031235,8.15,Ecuador1990,0.645,"15,239,278,100",1732,Generation X
Ecuador,1990,male,35-54 years,70,877120,7.98,Ecuador1990,0.645,"15,239,278,100",1732,Silent
Ecuador,1990,female,25-34 years,42,779938,5.39,Ecuador1990,0.645,"15,239,278,100",1732,Boomers
Ecuador,1990,male,75+ years,3,70844,4.23,Ecuador1990,0.645,"15,239,278,100",1732,G.I. Generation
Ecuador,1990,female,75+ years,2,87254,2.29,Ecuador1990,0.645,"15,239,278,100",1732,G.I. Generation
Ecuador,1990,female,35-54 years,17,883364,1.92,Ecuador1990,0.645,"15,239,278,100",1732,Silent
Ecuador,1990,female,55-74 years,3,380666,0.79,Ecuador1990,0.645,"15,239,278,100",1732,G.I. Generation
Ecuador,1990,male,5-14 years,6,1262625,0.48,Ecuador1990,0.645,"15,239,278,100",1732,Generation X
Ecuador,1990,female,5-14 years,5,1225466,0.41,Ecuador1990,0.645,"15,239,278,100",1732,Generation X
El Salvador,1990,male,75+ years,13,29955,43.4,El Salvador1990,0.522,"4,817,542,204",1068,G.I. Generation
El Salvador,1990,male,25-34 years,119,339719,35.03,El Salvador1990,0.522,"4,817,542,204",1068,Boomers
El Salvador,1990,male,15-24 years,127,504932,25.15,El Salvador1990,0.522,"4,817,542,204",1068,Generation X
El Salvador,1990,female,15-24 years,112,528567,21.19,El Salvador1990,0.522,"4,817,542,204",1068,Generation X
El Salvador,1990,male,35-54 years,81,427335,18.95,El Salvador1990,0.522,"4,817,542,204",1068,Silent
El Salvador,1990,male,55-74 years,34,201577,16.87,El Salvador1990,0.522,"4,817,542,204",1068,G.I. Generation
El Salvador,1990,female,25-34 years,43,383005,11.23,El Salvador1990,0.522,"4,817,542,204",1068,Boomers
El Salvador,1990,female,35-54 years,24,477092,5.03,El Salvador1990,0.522,"4,817,542,204",1068,Silent
El Salvador,1990,female,55-74 years,9,221802,4.06,El Salvador1990,0.522,"4,817,542,204",1068,G.I. Generation
El Salvador,1990,female,75+ years,1,42375,2.36,El Salvador1990,0.522,"4,817,542,204",1068,G.I. Generation
El Salvador,1990,female,5-14 years,7,671315,1.04,El Salvador1990,0.522,"4,817,542,204",1068,Generation X
El Salvador,1990,male,5-14 years,1,682878,0.15,El Salvador1990,0.522,"4,817,542,204",1068,Generation X
Finland,1990,male,75+ years,77,85500,90.06,Finland1990,0.783,"141,517,648,888",30271,G.I. Generation
Finland,1990,male,35-54 years,483,728500,66.3,Finland1990,0.783,"141,517,648,888",30271,Silent
Finland,1990,male,25-34 years,250,389800,64.14,Finland1990,0.783,"141,517,648,888",30271,Boomers
Finland,1990,male,55-74 years,210,391100,53.69,Finland1990,0.783,"141,517,648,888",30271,G.I. Generation
Finland,1990,male,15-24 years,169,332100,50.89,Finland1990,0.783,"141,517,648,888",30271,Generation X
Finland,1990,female,55-74 years,92,502700,18.3,Finland1990,0.783,"141,517,648,888",30271,G.I. Generation
Finland,1990,female,35-54 years,124,706200,17.56,Finland1990,0.783,"141,517,648,888",30271,Silent
Finland,1990,female,25-34 years,48,372600,12.88,Finland1990,0.783,"141,517,648,888",30271,Boomers
Finland,1990,female,15-24 years,35,318800,10.98,Finland1990,0.783,"141,517,648,888",30271,Generation X
Finland,1990,female,75+ years,20,195600,10.22,Finland1990,0.783,"141,517,648,888",30271,G.I. Generation
Finland,1990,male,5-14 years,4,333400,1.2,Finland1990,0.783,"141,517,648,888",30271,Generation X
Finland,1990,female,5-14 years,0,318800,0,Finland1990,0.783,"141,517,648,888",30271,Generation X
France,1990,male,75+ years,1441,1360900,105.89,France1990,0.779,"1,269,179,616,914",23968,G.I. Generation
France,1990,male,55-74 years,1986,4746800,41.84,France1990,0.779,"1,269,179,616,914",23968,G.I. Generation
France,1990,male,35-54 years,2816,7267500,38.75,France1990,0.779,"1,269,179,616,914",23968,Silent
France,1990,male,25-34 years,1314,4289900,30.63,France1990,0.779,"1,269,179,616,914",23968,Boomers
France,1990,female,75+ years,661,2583600,25.58,France1990,0.779,"1,269,179,616,914",23968,G.I. Generation
France,1990,female,55-74 years,1002,5482800,18.28,France1990,0.779,"1,269,179,616,914",23968,G.I. Generation
France,1990,male,15-24 years,607,4318400,14.06,France1990,0.779,"1,269,179,616,914",23968,Generation X
France,1990,female,35-54 years,981,7178300,13.67,France1990,0.779,"1,269,179,616,914",23968,Silent
France,1990,female,25-34 years,392,4308400,9.1,France1990,0.779,"1,269,179,616,914",23968,Boomers
France,1990,female,15-24 years,184,4175200,4.41,France1990,0.779,"1,269,179,616,914",23968,Generation X
France,1990,male,5-14 years,14,3705600,0.38,France1990,0.779,"1,269,179,616,914",23968,Generation X
France,1990,female,5-14 years,5,3535500,0.14,France1990,0.779,"1,269,179,616,914",23968,Generation X
Georgia,1990,male,75+ years,14,62200,22.51,Georgia1990,NA,"7,753,501,868",1555,G.I. Generation
Georgia,1990,male,55-74 years,36,377250,9.54,Georgia1990,NA,"7,753,501,868",1555,G.I. Generation
Georgia,1990,male,35-54 years,44,616350,7.14,Georgia1990,NA,"7,753,501,868",1555,Silent
